uid,groundtruth_index,expert_label
aprenfl-defects4j-Math-11-TBar-Patch_31_8,defects4j-Math-11-developer,type-3
aprenfl-defects4j-Lang-60-TBar-Patch_3262_1865,dl4pc2-defects4j-Lang-60-Arja-DifferentFragPatches-16,not-clone
aprenfl-defects4j-Math-82-TBar-Patch_1326_709,dl4pc2-defects4j-Math-82-Arja-DifferentFragPatches-17,type-3
aprenfl-defects4j-Math-82-TBar-Patch_1326_709,dl4pc2-defects4j-Math-82-Arja-DifferentFragPatches-31,type-3
aprenfl-defects4j-Closure-73-TBar-Patch_146_58,aprenfl-defects4j-Closure-73-kPAR-Patch_133_69,type-1
aprenfl-defects4j-Chart-13-TBar-Patch_29_18,dl4pc2-defects4j-Chart-13-Arja-DifferentFragPatches-154,not-clone
aprenfl-defects4j-Chart-13-TBar-Patch_29_18,dl4pc2-defects4j-Chart-13-Arja-DifferentFragPatches-109,not-clone
aprenfl-defects4j-Chart-13-TBar-Patch_29_18,aprenfl-defects4j-Chart-13-AVATAR-Patch_9_7,type-3
aprenfl-defects4j-Closure-126-TBar-Patch_6_3,dl4pc2-defects4j-Closure-126-Arja-292,type-3
aprenfl-defects4j-Math-8-TBar-Patch_47_16,dl4pc2-defects4j-Math-8-Arja-DifferentFragPatches-13,not-clone
aprenfl-defects4j-Math-8-TBar-Patch_47_16,dl4pc2-defects4j-Math-8-Arja-87,not-clone
aprenfl-defects4j-Math-85-TBar-Patch_3_1,dl4pc2-defects4j-Math-85-Arja-170,type-1
aprenfl-defects4j-Chart-1-TBar-Patch_2781_1214,dl4pc2-defects4j-Chart-1-Arja-DifferentFragPatches-8,not-clone
aprenfl-defects4j-Chart-1-TBar-Patch_2781_1214,dl4pc2-defects4j-Chart-1-Arja-DifferentFragPatches-44,not-clone
aprenfl-defects4j-Chart-1-TBar-Patch_2781_1214,drr-defects4j-Chart-1-DeepRepair-patch1,not-clone
aprenfl-defects4j-Chart-5-TBar-Patch_52_1,dl4pc2-defects4j-Chart-5-Nopol-DifferentFragPatches-0,not-clone
aprenfl-defects4j-Chart-5-TBar-Patch_52_1,aprenfl-defects4j-Chart-5-AVATAR-Patch_1_1,type-3
aprenfl-defects4j-Chart-5-TBar-Patch_52_1,drr-defects4j-Chart-5-DeepRepair-patch1,not-clone
aprenfl-defects4j-Chart-5-TBar-Patch_52_1,drr-defects4j-Chart-5-Arja-patch1,not-clone
aprenfl-defects4j-Closure-109-TBar-Patch_270_73,dl4pc2-defects4j-Closure-109-Dynamoth-DifferentFilePatches-0,not-clone
aprenfl-defects4j-Closure-109-TBar-Patch_270_73,aprenfl-defects4j-Closure-109-SimFix-Patch_6_6,not-clone
aprenfl-defects4j-Closure-109-TBar-Patch_270_73,aprenfl-defects4j-Closure-109-kPAR-Patch_172_38,type-1
aprenfl-defects4j-Lang-10-TBar-Patch_2435_1012,aprenfl-defects4j-Lang-10-kPAR-Patch_1577_529,not-clone
aprenfl-defects4j-Lang-10-TBar-Patch_2435_1012,drr-defects4j-Lang-10-DeepRepair-patch1,not-clone
aprenfl-defects4j-Lang-10-TBar-Patch_2435_1012,wangicse-defects4j-Lang-10-SimFix-patch1,not-clone
aprenfl-defects4j-Lang-10-TBar-Patch_2435_1012,defects4j-Lang-10-developer,type-3
aprenfl-defects4j-Math-2-TBar-Patch_468_285,dl4pc2-defects4j-Math-2-RSRepair-DifferentFilePatches-13,not-clone
aprenfl-defects4j-Math-2-TBar-Patch_468_285,dl4pc2-defects4j-Math-2-Arja-DifferentFilePatches-105,not-clone
aprenfl-defects4j-Math-2-TBar-Patch_468_285,defects4j-Math-2-developer,not-clone
aprenfl-defects4j-Chart-7-TBar-Patch_2_2,dl4pc2-defects4j-Chart-7-RSRepair-DifferentFilePatches-1,type-1
aprenfl-defects4j-Chart-7-TBar-Patch_2_2,dl4pc2-defects4j-Chart-7-RSRepair-DifferentFilePatches-0,not-clone
aprenfl-defects4j-Chart-7-TBar-Patch_2_2,drr-defects4j-Chart-7-DeepRepair-patch1,type-2
