uid,groundtruth_index,expert_label
aprenfl-defects4j-Math-81-TBar-Patch_75_45,dl4pc2-defects4j-Math-81-Arja-DifferentFragPatches-154,not-clone
aprenfl-defects4j-Math-81-TBar-Patch_75_45,dl4pc2-defects4j-Math-81-Arja-DifferentFragPatches-321,type-3
aprenfl-defects4j-Math-81-TBar-Patch_75_45,dl4pc2-defects4j-Math-81-Arja-DifferentFragPatches-508,not-clone
aprenfl-defects4j-Math-81-TBar-Patch_75_45,dl4pc2-defects4j-Math-81-Arja-DifferentFragPatches-478,not-clone
aprenfl-defects4j-Math-81-TBar-Patch_75_45,dl4pc2-defects4j-Math-81-Arja-DifferentFragPatches-8,type-3
aprenfl-defects4j-Math-81-TBar-Patch_75_45,dl4pc2-defects4j-Math-81-Arja-DifferentFragPatches-458,type-3
aprenfl-defects4j-Math-81-TBar-Patch_75_45,dl4pc2-defects4j-Math-81-Arja-DifferentFragPatches-270,not-clone
aprenfl-defects4j-Math-81-TBar-Patch_75_45,dl4pc2-defects4j-Math-81-Arja-DifferentFragPatches-475,type-3
aprenfl-defects4j-Math-81-TBar-Patch_75_45,dl4pc2-defects4j-Math-81-Arja-DifferentFragPatches-447,type-3
aprenfl-defects4j-Math-81-TBar-Patch_75_45,dl4pc2-defects4j-Math-81-Arja-DifferentFragPatches-235,type-3
aprenfl-defects4j-Math-81-TBar-Patch_75_45,dl4pc2-defects4j-Math-81-Arja-DifferentFragPatches-217,not-clone
aprenfl-defects4j-Math-81-TBar-Patch_75_45,dl4pc2-defects4j-Math-81-Arja-DifferentFragPatches-307,type-3
aprenfl-defects4j-Math-81-TBar-Patch_75_45,dl4pc2-defects4j-Math-81-Arja-DifferentFragPatches-436,not-clone
aprenfl-defects4j-Math-81-TBar-Patch_75_45,dl4pc2-defects4j-Math-81-Arja-DifferentFragPatches-196,not-clone
aprenfl-defects4j-Math-81-TBar-Patch_75_45,dl4pc2-defects4j-Math-81-Arja-DifferentFragPatches-501,type-3
aprenfl-defects4j-Math-81-TBar-Patch_75_45,dl4pc2-defects4j-Math-81-Arja-DifferentFragPatches-90,not-clone
aprenfl-defects4j-Math-81-TBar-Patch_75_45,dl4pc2-defects4j-Math-81-Arja-DifferentFragPatches-468,not-clone
aprenfl-defects4j-Math-81-TBar-Patch_75_45,dl4pc2-defects4j-Math-81-Arja-DifferentFragPatches-374,not-clone
aprenfl-defects4j-Math-81-TBar-Patch_75_45,dl4pc2-defects4j-Math-81-Arja-DifferentFragPatches-265,not-clone
